,name,type,date
241,Maundy Thursday,Regular Holiday,09/04/2020
242,The Day of Valor,Regular Holiday,09/04/2020
243,Good Friday,Regular Holiday,10/04/2020
244,Black Saturday,Special Non-working Holiday,11/04/2020
245,Black Saturday,Special Non-working Holiday,11/04/2020
246,Easter Sunday,Observance,12/04/2020
247,Labor Day,Regular Holiday,01/05/2020
248,Eidul-Fitar,Observance,24/05/2020
249,Eidul-Fitar Holiday,Regular Holiday,25/05/2020
250,Independence Day,Regular Holiday,12/06/2020
251,June Solstice,Season,21/06/2020
252,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,31/07/2020
253,Eid al-Adha Day 2,Common local holiday,01/08/2020
254,Amun Jadid,"Muslim, Common local holiday",20/08/2020
255,Ninoy Aquino Day,Special Non-working Holiday,21/08/2020
256,National Heroes Day,Regular Holiday,31/08/2020
257,Yamashita Surrender Day,Special Working Day,03/09/2020
258,Feast of the Nativity of Mary,Special Working Day,08/09/2020
259,September Equinox,Season,22/09/2020
260,Maulid un-Nabi,Common local holiday,29/10/2020
261,All Saints' Day,Special Non-working Holiday,01/11/2020
262,All Souls' Day,Special Non-working Holiday,02/11/2020
263,Additional Special Non-Working Day,Special Non-working Holiday,02/11/2020
264,Bonifacio Day,Regular Holiday,30/11/2020
265,Feast of the Immaculate Conception,Special Non-working Holiday,08/12/2020
266,December Solstice,Season,21/12/2020
267,Christmas Eve,Special Non-working Holiday,24/12/2020
268,Additional Special Non-Working Day,Special Non-working Holiday,24/12/2020
269,Christmas Day,Regular Holiday,25/12/2020
270,Rizal Day,Regular Holiday,30/12/2020
271,New Year's Eve,Special Non-working Holiday,31/12/2020
272,New Year's Day,Regular Holiday,01/01/2021
273,First Philippine Republic Day,Special Working Day,23/01/2021
274,Lunar New Year's Day,Special Non-working Holiday,12/02/2021
275,People Power Anniversary,Special Non-working Holiday,25/02/2021
276,Lailatul Isra Wal Mi Raj,Common local holiday,11/03/2021
277,March Equinox,Season,20/03/2021
278,Maundy Thursday,Regular Holiday,01/04/2021
